Compensation,Education,Title,Company_Size,Gender,Count
"> $500,000",Doctoral degree,Research Scientist,0-49 employees,Male,1
"> $500,000",Master's degree,Data Analyst,50-249 employees,Male,1
"> $500,000",Master's degree,Data Analyst,0-49 employees,Male,1
"> $500,000",Master's degree,Data Engineer,"> 10,000 employees",Male,1
"> $500,000",Master's degree,Software Engineer,"> 10,000 employees",Male,1
"> $500,000",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,1
"> $500,000",Bachelor's degree,Data Scientist,0-49 employees,Male,3
"> $500,000",Bachelor's degree,Product/Project Manager,50-249 employees,Male,1
"> $500,000",Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,1
"> $500,000",I prefer not to answer,Data Analyst,"> 10,000 employees",Male,1
"300,000 to 500,000",Doctoral degree,Research Scientist,0-49 employees,Male,1
"300,000 to 500,000",Master's degree,Data Scientist,"> 10,000 employees",Male,2
"300,000 to 500,000",Master's degree,Data Scientist,"> 10,000 employees",Female,1
"300,000 to 500,000",Master's degree,Statistician,"> 10,000 employees",Female,1
"300,000 to 500,000",High School,Business Analyst,"> 10,000 employees",Male,1
"250,000 to 299,999",Master's degree,Other,"> 10,000 employees",Male,1
"250,000 to 299,999",Bachelor's degree,Data Scientist,0-49 employees,Male,1
"250,000 to 299,999",Bachelor's degree,Product/Project Manager,0-49 employees,Male,1
"200,000 to 249,999",Doctoral degree,Research Scientist,50-249 employees,Female,1
"200,000 to 249,999",Doctoral degree,Other,"1000-9,999 employees",Male,1
"200,000 to 249,999",Master's degree,Data Scientist,"> 10,000 employees",Male,1
"200,000 to 249,999",Master's degree,Data Scientist,0-49 employees,Male,1
"200,000 to 249,999",Master's degree,Business Analyst,0-49 employees,Male,1
"200,000 to 249,999",Master's degree,Software Engineer,"> 10,000 employees",Male,2
"200,000 to 249,999",Professional degree,Data Analyst,"1000-9,999 employees",Male,1
"150,000 to 199,999",Master's degree,Data Scientist,"> 10,000 employees",Male,1
"150,000 to 199,999",Master's degree,Data Scientist,250-999 employees,Male,1
"150,000 to 199,999",Master's degree,Data Scientist,0-49 employees,Male,1
"150,000 to 199,999",Master's degree,Software Engineer,"> 10,000 employees",Female,1
"150,000 to 199,999",Master's degree,Software Engineer,50-249 employees,Not Mentioned,1
"150,000 to 199,999",Master's degree,Other,250-999 employees,Male,1
"150,000 to 199,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,1
"150,000 to 199,999",Professional degree,Other,0-49 employees,Male,1
"125,000 to 149,999",Master's degree,Data Scientist,"> 10,000 employees",Male,1
"125,000 to 149,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,1
"125,000 to 149,999",Master's degree,Data Scientist,0-49 employees,Male,1
"125,000 to 149,999",Master's degree,Product/Project Manager,0-49 employees,Male,1
"125,000 to 149,999",Master's degree,Business Analyst,0-49 employees,Male,1
"125,000 to 149,999",Master's degree,Software Engineer,0-49 employees,Male,1
"125,000 to 149,999",Professional degree,Data Scientist,250-999 employees,Male,1
"125,000 to 149,999",Professional degree,Product/Project Manager,0-49 employees,Male,1
"100,000 to 124,999",Doctoral degree,Other,250-999 employees,Male,1
"100,000 to 124,999",Doctoral degree,Other,250-999 employees,Female,1
"100,000 to 124,999",Master's degree,Research Scientist,0-49 employees,Male,1
"100,000 to 124,999",Master's degree,Data Scientist,"> 10,000 employees",Male,1
"100,000 to 124,999",Master's degree,Product/Project Manager,0-49 employees,Male,2
"100,000 to 124,999",Master's degree,Data Analyst,"1000-9,999 employees",Male,1
"100,000 to 124,999",Master's degree,Software Engineer,"> 10,000 employees",Male,1
"100,000 to 124,999",Master's degree,Software Engineer,0-49 employees,Male,2
"100,000 to 124,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,1
"100,000 to 124,999",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"100,000 to 124,999",Bachelor's degree,Data Scientist,0-49 employees,Male,2
"100,000 to 124,999",Bachelor's degree,Product/Project Manager,0-49 employees,Male,1
"100,000 to 124,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,1
"100,000 to 124,999",Bachelor's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"100,000 to 124,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,1
"100,000 to 124,999",Bachelor's degree,Software Engineer,250-999 employees,Male,1
"100,000 to 124,999",Bachelor's degree,Software Engineer,0-49 employees,Not Mentioned,1
"100,000 to 124,999",Bachelor's degree,Other,"> 10,000 employees",Male,1
"100,000 to 124,999",Professional degree,Research Scientist,0-49 employees,Male,1
"100,000 to 124,999",Professional degree,Data Scientist,0-49 employees,Male,1
"100,000 to 124,999",Professional degree,Product/Project Manager,50-249 employees,Male,1
"100,000 to 124,999",Professional degree,Product/Project Manager,0-49 employees,Male,1
"100,000 to 124,999",Professional degree,Business Analyst,"> 10,000 employees",Male,1
"100,000 to 124,999",Professional degree,Other,"1000-9,999 employees",Male,2
"100,000 to 124,999",I prefer not to answer,Data Scientist,250-999 employees,Male,1
"90,000 to 99,999",Doctoral degree,Other,250-999 employees,Male,1
"90,000 to 99,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,2
